Trainer,Wins,Losses,Ties,Win Percentage
Beauty3,39,354,0,9.92%
Engineer2,38,354,0,9.69%
Youngster7,37,355,0,9.44%
Rocket1,37,355,0,9.44%
Rocket2,37,356,0,9.41%
Lass8,34,358,0,8.67%
Youngster3,33,360,0,8.40%
SuperNerd2,33,360,0,8.40%
BugCatcher10,32,361,0,8.14%
Rocket3,29,363,0,7.40%
Lass6,28,364,0,7.14%
Lass3,27,365,0,6.89%
Rival1A-Bulbasaur,27,365,0,6.89%
Hiker10,25,351,0,6.65%
Youngster1,22,370,0,5.61%
Lass2,22,370,0,5.61%
Lass5,22,369,0,5.63%
Biker10,21,319,0,6.18%
BugCatcher9,20,372,0,5.10%
JrTrainerM1,20,372,0,5.10%
SuperNerd1,19,373,0,4.85%
BugCatcher4,18,375,0,4.58%
Rival1A-Squirtle,18,374,0,4.59%
Lass1,16,376,0,4.08%
Rival1A-Charmander,14,378,0,3.57%
BugCatcher8,13,380,0,3.31%
BugCatcher2,12,381,0,3.05%
BugCatcher5,11,383,0,2.79%
BugCatcher7,11,380,0,2.81%
Rival1-Bulbasaur,10,382,0,2.55%
BugCatcher6,9,385,0,2.28%
BugCatcher3,6,386,0,1.53%
BugCatcher1,4,388,0,1.02%
Rival1-Squirtle,1,391,0,0.26%
Rival1-Charmander,0,392,0,0.00%
Scientist5,0,364,0,0.00%
